time,open,high,low,close,SMA50,SMA100,SMA200,Basis_BB,Upper_BB,Lower_BB,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram(Signal-MACD),MACD(fast-slow),Signal_sma9,OnBalanceVolume,StochasticOscillator,StochasticOscillator_SMA3,Accumulation/Distribution,Aroon Up,Aroon Down
28/12/2007,148.53999,148.61,146.89999,147.3,148.3255988,148.9805992,149.0932498,148.223,151.7976208,144.6483792,48.41230255,50.0043939,NaN,NaN,NaN,NaN,NaN,NaN,0.07780882,-0.023141165,-0.100949985,3942454333,37.40194558,47.1817251,5499246614,14.28571429,50
31/12/2007,147.10001,147.6062,146.06,146.21001,148.175999,148.9443993,149.1316498,148.1005005,151.7733905,144.4276105,45.55537319,49.02823211,NaN,NaN,NaN,NaN,NaN,NaN,-0.038661476,-0.14927683,-0.110615354,3834327581,25.19599686,34.71440991,5412100452,7.142857143,42.85714286
02/01/2008,146.53,146.99001,143.88,144.92999,148.0811988,148.9397992,149.1552998,147.9630005,151.8859532,144.0400478,42.39161929,48.52213854,NaN,NaN,NaN,NaN,NaN,NaN,-0.190315529,-0.348509765,-0.158194236,3629392077,13.30785805,25.3019335,5345544072,0,100
03/01/2008,144.91,145.49001,144.07001,144.86,147.967599,148.9412991,149.1747498,147.8880005,151.9842009,143.7918001,42.2189661,47.79289362,NaN,NaN,NaN,NaN,NaN,NaN,-0.278417069,-0.506215572,-0.227798504,3504258829,16.89658086,18.46681192,5359641830,0,92.85714286
04/01/2008,143.34,143.44,140.91,141.31,147.7585992,148.9020991,149.1648498,147.5130005,152.4829461,142.5430549,34.53578646,46.56421493,NaN,NaN,NaN,NaN,NaN,NaN,-0.543518235,-0.907196298,-0.363678062,3271928013,4.561008621,11.58848251,5200775304,57.14285714,100
07/01/2008,141.81,142.23,140.10001,141.19,147.5527992,148.8838992,149.1548999,147.0255005,152.4473947,141.6036063,34.30850045,45.61366885,NaN,NaN,NaN,NaN,NaN,NaN,-0.685528923,-1.220589216,-0.535060293,3036937069,11.37778993,10.94512647,5206290446,50,100
08/01/2008,142.08,142.89999,138.44,138.91,147.2941992,148.8625993,149.1324999,146.4255005,152.5989387,140.2520623,30.23678638,44.6682521,NaN,NaN,30.23678638,NaN,NaN,NaN,-0.879228143,-1.634095472,-0.754867329,2710570349,4.181498382,6.706765645,4948709691,42.85714286,100
09/01/2008,139.09,140.78999,137.7,140.37,147.0291992,148.8452992,149.1183499,145.8400005,151.9783425,139.7016585,35.51443798,43.95895537,NaN,NaN,NaN,NaN,NaN,NaN,-0.854488698,-1.822978202,-0.968489503,3012481133,22.28716385,12.61548405,5168549329,35.71428571,100
10/01/2008,139.67999,142.8,139.37,141.28999,146.772399,148.811099,149.1104998,145.509,151.8748885,139.1431115,38.66327207,43.47457536,NaN,NaN,NaN,NaN,NaN,NaN,-0.726647638,-1.876799051,-1.150151413,3348182381,29.96655256,18.81173826,5208674926,28.57142857,92.85714286
11/01/2008,140.78,141.8985,139,140.14999,146.5141988,148.7661989,149.1021497,145.0479995,151.5623516,138.5336474,36.29802398,42.65004397,NaN,NaN,NaN,NaN,NaN,NaN,-0.670693694,-1.988518531,-1.317824836,3081105821,20.45068485,24.23480042,5153525482,21.42857143,85.71428571
14/01/2008,141.16,141.86,140.39999,141.28,146.246799,148.729699,149.0986997,144.6589995,151.0973094,138.2206896,40.20301045,41.86592343,NaN,NaN,NaN,NaN,40.20301045,NaN,-0.516335018,-1.96324361,-1.446908591,3251471453,29.88316351,26.76680031,5188533046,14.28571429,78.57142857
15/01/2008,139.78999,141.4903,137.89999,138.17,145.989599,148.6448991,149.0795497,144.2089995,151.1229154,137.2950836,34.02164135,40.45216018,NaN,NaN,NaN,NaN,NaN,NaN,-0.577800601,-2.169159343,-1.591358741,3011014957,3.923208617,18.08568566,4984243710,7.142857143,71.42857143
16/01/2008,137.36,139.12,136.28,136.98,145.705199,148.5494991,149.0536497,143.804499,151.3841539,136.2248441,31.99454981,38.83877627,NaN,NaN,NaN,NaN,NaN,NaN,-0.647471681,-2.400698343,-1.753226662,2632058925,5.490196078,13.09885607,4792096990,0,100
17/01/2008,137.81,137.88,132.92999,133.42999,145.3727988,148.400499,149.0023497,143.1819985,151.9321807,134.4318163,26.8541509,37.22917293,NaN,NaN,NaN,NaN,NaN,NaN,-0.867768141,-2.837936838,-1.970168697,2233654061,3.188773477,4.200726057,4474177794,0,100
18/01/2008,134.74001,135.02,131.10001,132.06,144.9725986,148.251599,148.9433996,142.4909985,152.3874469,132.5945501,25.17328446,35.56924306,NaN,NaN,NaN,NaN,NaN,NaN,-1.029823764,-3.257448402,-2.227624638,1885092653,5.815939354,4.831636303,4296338998,0,100
22/01/2008,127.21001,132.42661,126,130.72,144.6287986,148.121599,148.8757996,141.6869985,152.6118239,130.7621731,23.61622787,34.00216125,NaN,NaN,23.61622787,NaN,NaN,NaN,-1.142618866,-3.655898221,-2.513279355,1449167405,22.48688781,10.49720021,4500741130,0,100
23/01/2008,127.09,134.19,126.84,133.86,144.3627986,147.9947991,148.8228996,140.9734985,151.9855559,129.9614411,33.92919523,33.39770239,NaN,NaN,NaN,NaN,NaN,NaN,-0.930118129,-3.675927016,-2.745808887,1961080365,40.32835283,22.87706,4966686396,0,92.85714286
24/01/2008,134.48,135.46001,133.31,134.99001,144.1597988,147.8831993,148.7747996,140.261499,150.8805432,129.6424548,37.21452557,33.04024235,NaN,NaN,NaN,NaN,NaN,NaN,-0.651020841,-3.559584939,-2.908564097,2221029613,51.54822248,38.12115437,5112983943,0,85.71428571
25/01/2008,136.50999,136.75999,132.60001,133.03999,143.9465986,147.7376992,148.7198996,139.4359985,149.5953825,129.2766145,34.06649884,33.00672181,NaN,NaN,NaN,NaN,NaN,NaN,-0.539889377,-3.583425819,-3.043536441,1951425773,41.65677021,44.51111517,4900409366,0,78.57142857
28/01/2008,133.25999,135.52,132.06,135.24001,143.6897988,147.5992993,148.6727996,138.814499,148.3868312,129.2421668,40.21142121,33.42835901,NaN,NaN,NaN,NaN,NaN,NaN,-0.273784957,-3.385767638,-3.111982681,2169360333,54.67464774,49.29321347,5083072541,7.142857143,71.42857143
29/01/2008,136.10001,136.45,134.88,135.91,143.4545988,147.4804994,148.6257496,138.244999,147.0551466,129.4348514,41.98470856,34.26749631,NaN,NaN,NaN,NaN,NaN,NaN,-0.021515054,-3.138876498,-3.117361444,2338329149,58.98809524,51.77317106,5135808031,0,64.28571429
30/01/2008,135.58,138.53999,134.60001,134.91,143.241999,147.3482994,148.5667996,137.6799985,145.7965225,129.5634745,40.07422888,34.59319566,NaN,NaN,NaN,NaN,NaN,NaN,0.102333414,-2.989444676,-3.091778091,2003390013,53.03571429,55.56615242,4853573621,7.142857143,57.14285714
31/01/2008,133.39999,138.53999,133.2,137.37,143.0735992,147.2612993,148.5181996,137.301999,144.7055908,129.8984072,46.52116026,35.15447338,NaN,NaN,NaN,NaN,NaN,NaN,0.359773352,-2.642061401,-3.001834753,2347070781,71.51618077,61.17999677,5046653709,0,50
01/02/2008,137.94,139.61,137.52,139.58,142.9899994,147.1991994,148.4797496,137.037999,143.6823627,130.3936353,51.56267894,36.24480588,NaN,NaN,NaN,NaN,51.56267894,NaN,0.670675995,-2.163489759,-2.834165754,2553914461,85.62421185,70.0587023,5247559293,0,42.85714286
04/02/2008,139.21001,139.3,137.64,137.82001,142.8535996,147.1024994,148.4326996,136.8634995,143.2273096,130.4996894,47.70565875,36.78070933,NaN,NaN,NaN,NaN,NaN,NaN,0.743905903,-1.904283375,-2.648189278,2429220205,76.30588175,77.81542479,5149908667,0,35.71428571
05/02/2008,135.94,136.25,133.67,134.13,142.7025998,146.9650994,148.3602496,136.5104995,142.6546289,130.3663701,40.81258985,37.26577708,NaN,NaN,NaN,NaN,NaN,NaN,0.539463432,-1.973859988,-2.51332342,2142337645,59.73548861,73.8885274,4965325315,0,28.57142857
06/02/2008,134.58,135.25,132.41,133.05,142.4809998,146.8064994,148.2851996,136.2174995,142.4344457,130.0005533,39.03481897,37.76865345,NaN,NaN,39.03481897,NaN,NaN,NaN,0.337033701,-2.092031294,-2.429064995,1891544765,51.80014695,62.6138391,4827565845,78.57142857,21.42857143
07/02/2008,131.8,134.78999,131.73,133.92999,142.3405996,146.6567994,148.2142496,135.895499,141.8816139,129.9093841,41.27927801,38.79901967,NaN,NaN,NaN,NaN,NaN,NaN,0.270791031,-2.090576206,-2.361367237,2189086397,58.26590742,56.60051433,4957861307,71.42857143,14.28571429
08/02/2008,133.09,134.22,132.10001,133.07001,142.1505996,146.5064994,148.1321996,135.4845,141.0463757,129.9226243,39.73953618,39.83946622,NaN,NaN,NaN,NaN,NaN,NaN,0.181722316,-2.134214343,-2.315936658,1967442893,51.9471712,54.00440852,4939043476,64.28571429,7.142857143
11/02/2008,133.10001,134.23,132.03999,133.75,141.8829996,146.3193993,148.0526997,135.1645005,140.3387832,129.9902178,41.59463652,41.12363827,NaN,NaN,NaN,NaN,NaN,NaN,0.180878912,-2.089838018,-2.27071693,2156019149,54.11119812,54.77475891,5044956545,57.14285714,0
12/02/2008,134.91,136.31,133.98,134.99001,141.6392,146.1356994,147.9799997,134.850001,139.1978492,130.5021528,44.92431419,41.90900391,NaN,NaN,NaN,NaN,NaN,NaN,0.270704545,-1.932336248,-2.203040794,2412673517,41.37068528,49.1430182,5010811601,50,0
13/02/2008,136.00999,137.10001,135.14,136.37,141.3934,145.9765994,147.9203998,134.760001,138.8987188,130.6212832,48.44673375,42.71130449,NaN,NaN,NaN,NaN,48.44673375,NaN,0.420967173,-1.676831828,-2.097799001,2594641261,58.88324873,51.45504404,5057230778,42.85714286,71.42857143
14/02/2008,136.95,137,134.78999,135.17,141.1432002,145.8085994,147.8528998,134.669501,138.6874811,130.6515209,45.70910901,43.54291951,NaN,NaN,NaN,NaN,NaN,NaN,0.435625119,-1.553267602,-1.988892721,2379434141,43.65482234,47.96958545,4916033149,35.71428571,64.28571429
15/02/2008,134.55,136.10001,133.36,135.14,140.9188002,145.6430994,147.7808998,134.7550015,138.7364484,130.7735546,45.6396743,43.93065187,NaN,NaN,NaN,NaN,NaN,NaN,0.438194072,-1.441150131,-1.879344203,2225323885,43.27411168,48.60406091,4962153006,28.57142857,57.14285714
19/02/2008,136.69,136.89,134.61,135.52,140.6530002,145.4843994,147.7067498,134.9280015,138.7222921,131.1337109,46.74323368,44.27054652,NaN,NaN,NaN,NaN,NaN,NaN,0.458217719,-1.306572054,-1.764789773,2370513885,48.0964467,45.00846024,4932860287,21.42857143,50
